,failures,Dalc,Walc,G1,G2,G3,Pstatus_T
0,0,1,1,0,11,11,0
1,0,1,1,9,11,11,1
2,0,2,3,12,13,12,1
3,0,1,1,14,14,14,1
4,0,1,2,11,13,13,1
5,0,1,2,12,12,13,1
6,0,1,1,13,12,13,1
7,0,1,1,10,13,13,0
8,0,1,1,15,16,17,0
9,0,1,1,12,12,13,1
10,0,1,2,14,14,14,1
11,0,1,1,10,12,13,1
12,0,1,3,12,13,12,1
13,0,1,2,12,12,13,1
14,0,1,1,14,14,15,0
15,0,1,2,17,17,17,1
16,0,1,2,13,13,14,1
17,0,1,1,13,14,14,1
18,3,2,4,8,8,7,1
19,0,1,3,12,12,12,1
20,0,1,1,12,13,14,1
21,0,1,1,11,12,12,1
22,0,1,3,12,13,14,1
23,0,2,4,10,10,10,1
24,0,1,1,10,11,10,1
25,0,1,3,10,11,12,1
26,0,1,2,11,12,12,1
27,0,2,4,11,11,11,1
28,0,1,1,12,12,13,0
29,0,5,5,12,11,12,1
30,0,3,4,10,11,11,1
31,0,1,1,15,15,15,1
32,0,1,1,13,14,15,1
33,0,1,1,13,12,12,1
34,0,1,1,12,12,12,1
35,0,1,1,11,11,11,1
36,0,1,1,14,14,14,1
37,0,1,1,13,13,13,0
38,0,1,1,11,12,12,1
39,0,1,1,14,13,12,1
40,0,1,2,11,11,10,1
41,0,2,4,10,11,11,1
42,0,1,1,14,15,15,1
43,0,1,1,9,10,10,1
44,1,2,2,10,11,11,1
45,0,1,1,10,11,11,0
46,0,1,4,13,12,13,0
47,0,1,1,17,17,17,1
48,0,2,2,11,12,13,1
49,0,1,1,13,12,12,1
50,0,2,3,14,13,13,1
51,0,1,1,16,14,16,1
52,0,3,4,10,9,9,0
53,0,2,3,13,12,12,1
54,0,4,4,13,12,13,0
55,0,1,1,12,13,12,0
56,0,1,1,15,14,15,0
57,0,1,1,15,15,16,1
58,0,1,1,14,13,14,1
59,0,1,1,16,15,16,1
60,0,2,3,17,16,16,1
61,0,5,5,10,10,16,1
62,0,1,1,13,13,10,1
63,0,2,4,14,13,13,1
64,0,2,4,13,12,12,1
65,0,1,2,16,15,16,1
66,0,5,5,11,12,12,0
67,0,1,2,10,9,10,1
68,0,1,3,11,10,11,1
69,0,2,3,15,15,15,1
70,0,1,1,13,11,11,1
71,0,1,1,11,9,10,1
72,0,2,4,13,11,11,1
73,0,2,2,13,13,14,1
74,0,2,4,11,11,11,1
75,0,2,3,11,11,11,1
76,0,1,1,12,11,11,1
77,0,1,3,13,13,13,1
78,3,1,1,9,9,10,1
79,0,1,2,12,11,11,1
80,0,1,3,11,11,12,1
