,Pstatus,failures,Dalc,Walc,G1,G2,G3
0,A,0,1,1,5,6,6
1,T,0,1,1,5,5,6
2,T,3,2,3,7,8,10
3,T,0,1,1,15,14,15
4,T,0,1,2,6,10,10
5,T,0,1,2,15,15,15
6,T,0,1,1,12,12,11
7,A,0,1,1,6,5,6
8,A,0,1,1,16,18,19
9,T,0,1,1,14,15,15
10,T,0,1,2,10,8,9
11,T,0,1,1,10,12,12
12,T,0,1,3,14,14,14
13,T,0,1,2,10,10,11
14,A,0,1,1,14,16,16
15,T,0,1,2,14,14,14
16,T,0,1,2,13,14,14
17,T,0,1,1,8,10,10
18,T,3,2,4,6,5,5
19,T,0,1,3,8,10,10
20,T,0,1,1,13,14,15
21,T,0,1,1,12,15,15
22,T,0,1,3,15,15,16
23,T,0,2,4,13,13,12
24,T,0,1,1,10,9,8
25,T,2,1,3,6,9,8
26,T,0,1,2,12,12,11
27,T,0,2,4,15,16,15
28,A,0,1,1,11,11,11
29,T,0,5,5,10,12,11
30,T,0,3,4,9,11,12
31,T,0,1,1,17,16,17
32,T,0,1,1,17,16,16
33,T,0,1,1,8,10,12
34,T,0,1,1,12,14,15
35,T,0,1,1,8,7,6
36,T,0,1,1,15,16,18
37,A,0,1,1,15,16,15
38,T,0,1,1,12,12,11
39,T,0,1,1,14,13,13
40,T,1,1,2,7,10,11
41,T,0,2,4,12,12,12
42,T,0,1,1,19,18,18
43,T,0,1,1,8,8,11
44,T,1,2,2,10,10,9
45,A,0,1,1,8,8,6
46,A,0,1,4,11,12,11
47,T,0,1,1,19,19,20
48,T,0,2,2,15,15,14
49,T,1,1,1,7,7,7
50,T,0,2,3,12,13,13
51,T,0,1,1,11,13,13
52,A,1,3,4,11,11,10
53,T,0,2,3,8,10,11
54,A,0,4,4,10,13,13
55,A,0,1,1,8,9,10
56,A,0,1,1,14,15,15
57,T,0,1,1,14,15,15
58,T,0,1,1,9,10,9
59,T,0,1,1,15,16,16
60,T,0,2,3,10,11,11
61,T,0,5,5,10,8,11
62,T,0,1,1,8,10,9
63,T,0,2,4,10,9,9
64,T,0,2,4,10,10,10
65,T,0,1,2,16,15,15
66,A,0,5,5,13,13,12
67,T,0,1,2,7,7,6
68,T,0,1,3,8,9,8
69,T,0,2,3,16,16,16
70,T,0,1,1,13,15,15
71,T,0,1,1,10,10,10
72,T,2,2,4,8,6,5
73,T,0,2,2,12,12,14
74,T,0,2,4,11,12,11
75,T,0,2,3,9,9,10
76,T,0,1,1,11,11,10
77,T,0,1,3,11,11,11
78,T,3,1,1,8,8,10
79,T,0,1,2,5,5,5
80,T,0,1,3,10,12,12
81,T,0,1,2,11,10,11
82,T,0,1,1,7,6,6
83,T,0,1,3,15,15,15
84,T,0,2,3,9,10,10
85,T,2,2,3,7,9,8
86,T,0,1,2,8,7,6
87,T,0,1,3,13,14,14
88,T,1,1,1,11,10,10
89,A,0,3,5,8,6,7
90,T,0,1,3,7,7,8
91,T,0,1,3,16,17,18
92,T,0,2,3,7,6,6
93,T,0,1,1,11,10,10
94,T,0,1,1,11,13,14
95,T,1,1,1,7,10,10
96,T,0,1,1,11,15,15
97,T,0,1,1,8,9,10
98,T,0,1,2,11,14,14
99,T,0,1,1,7,9,8
100,T,0,5,5,7,7,5
101,T,0,1,1,16,17,17
102,T,0,1,1,10,13,14
103,T,0,1,1,7,6,6
104,A,0,1,1,16,18,18
105,A,0,1,1,10,11,11
106,T,0,1,1,7,8,8
107,T,0,1,1,16,18,18
108,T,0,3,5,10,13,13
109,T,0,1,1,14,15,16
110,A,0,1,1,18,19,19
111,T,1,1,1,7,10,10
112,T,1,1,1,10,13,13
113,T,0,1,1,18,19,19
114,T,0,1,1,9,9,9
115,T,0,1,2,15,15,16
116,T,0,1,1,11,13,14
117,T,0,1,1,13,14,13
118,T,1,1,4,9,7,8
119,T,0,1,2,14,13,13
120,T,0,1,2,16,15,15
121,T,0,1,2,16,14,15
122,T,0,1,2,13,13,13
123,T,0,1,4,14,11,13
124,T,0,1,1,8,7,8
125,T,0,3,2,13,13,12
126,A,0,1,1,7,10,11
127,T,3,1,1,7,8,9
128,T,2,1,2,7,4,0
129,T,0,2,5,18,18,18
130,T,2,2,2,12,0,0
131,T,0,1,2,8,0,0
132,T,0,1,3,10,13,12
133,A,0,1,4,12,11,11
134,T,0,1,1,9,0,0
135,T,0,1,1,11,0,0
136,T,0,2,4,10,0,0
137,A,2,1,1,4,0,0
138,T,1,1,3,14,12,12
139,T,0,1,1,16,16,15
140,T,0,1,1,7,9,0
141,T,2,2,2,9,9,9
142,T,0,1,1,9,11,11
143,T,0,3,3,14,14,13
144,T,3,1,2,5,0,0
145,T,0,1,2,8,11,11
146,T,3,1,1,6,7,0
147,T,0,1,1,10,11,11
148,T,0,2,1,7,6,0
149,A,3,2,5,8,9,10
150,T,3,2,5,6,5,0
151,T,1,3,5,12,13,14
152,T,2,2,3,10,10,10
153,T,3,1,1,5,0,0
154,T,0,1,1,11,11,12
155,T,0,1,1,11,8,8
156,T,0,3,3,16,12,13
157,T,3,1,5,9,8,10
158,T,0,1,2,17,15,15
159,T,1,4,4,10,12,12
160,T,2,2,2,7,6,0
161,T,2,1,4,5,9,7
162,T,1,2,4,7,0,0
163,T,0,1,4,10,10,10
164,T,3,1,5,5,8,7
165,T,1,1,1,12,11,12
166,T,0,2,4,10,10,10
167,T,0,1,1,14,15,16
168,T,0,1,1,6,7,0
169,T,0,1,1,14,14,14
170,T,2,2,4,6,5,0
171,T,0,1,1,13,15,16
172,T,0,1,3,13,11,10
173,T,3,1,1,8,7,0
174,T,0,1,1,10,11,9
175,T,0,4,4,10,9,9
176,T,0,1,4,13,13,11
177,T,0,1,4,6,5,6
178,T,0,3,4,10,8,9
179,T,0,1,1,10,10,11
180,T,0,2,3,9,8,8
181,T,0,1,2,12,13,12
182,T,0,2,3,16,17,17
183,T,0,2,3,9,9,8
184,T,0,1,2,12,13,12
185,T,0,2,3,12,12,11
186,T,0,1,2,11,12,11
187,T,0,1,2,15,15,15
188,A,0,1,3,8,7,9
189,T,0,1,5,8,9,10
190,T,0,1,1,11,12,13
191,T,0,1,1,8,8,9
192,T,0,4,5,7,8,8
193,T,0,3,4,8,9,10
194,T,0,1,1,13,14,14
195,T,0,1,1,14,15,15
196,T,0,1,2,17,15,16
197,T,0,3,5,9,9,10
198,T,1,2,3,18,18,18
199,T,0,1,2,9,9,10
200,T,0,1,5,16,16,16
201,T,0,1,3,8,10,10
202,T,0,1,3,9,9,10
203,T,0,1,2,7,6,6
204,T,0,1,1,10,10,11
205,T,1,3,4,10,9,9
206,A,3,2,2,7,7,7
207,T,0,1,1,11,12,13
208,T,0,1,4,9,9,10
209,T,0,1,1,7,7,7
210,T,0,1,2,8,8,8
211,T,0,4,5,12,12,13
212,A,0,1,1,12,13,14
213,T,1,2,4,6,7,8
214,T,0,1,2,8,10,10
